ID,date.photographed,claw,carapace,muscle,lipid,lipid.percent,percent.red,percent.green,percent.blue
U31,11.23.18,1.027,0.813,0.0024,23.29881657,2.329881657,25.256,12.877,8.531
U32,11.23.18,0.785,0.714,0.0026,2.083333333,0.208333333,23.473,14.907,10.951
U33,11.23.18,1.037,0.764,0.0016,8.552631579,0.855263158,11.297,8.294,7.093
U34,11.23.18,1.062,0.772,0.0034,0.221631206,0.022163121,39.021,24.689,18.63
U35,11.23.18,1.365,0.918,0.0041,12.98076923,1.298076923,13.053,7.179,5.867
U36,11.23.18,1.228,0.922,0.0063,9.5,0.95,11.001,8.035,7.293
U37,11.23.18,1.494,0.922,0.0061,12.13235294,1.213235294,17.276,11.899,9.737
U38,11.23.18,1.711,0.931,0.0076,7.179054054,0.717905405,26.011,11.968,8.16
U39,11.23.18,1.752,1.055,0.0083,13.87711864,1.387711864,25.932,14.074,10.028
U40,11.23.18,1.893,0.996,0.0107,9.330985915,0.933098592,38.506,26,20.522
U42,11.23.18,1.937,1.065,0.0109,21.42062315,2.142062315,33.856,17.535,12.799
U44,11.23.18,1.707,0.999,0.0091,26.26689189,2.626689189,11.543,6.461,5.108
U46,11.23.18,1.355,0.941,0.004,10.86065574,1.086065574,31.531,15.326,11.535
U47,11.23.18,1.108,0.743,0.002,11.97429907,1.197429907,19.493,9.149,6.562
U48,11.23.18,1.658,0.951,0.0084,10.86956522,1.086956522,19.954,12.488,10.806
U49,11.23.18,1.547,0.942,0.0084,16.11842105,1.611842105,20.674,10.979,8.538
U50,11.23.18,1.822,0.998,0.01,8.996212121,0.899621212,22.185,15.027,12.047
U51,11.23.18,1.565,0.923,0.0104,6.730769231,0.673076923,17.029,6.793,4.505
U52,11.23.18,1.432,0.863,0.0074,11.05349345,1.105349345,25.111,12.179,8.694
U53,11.23.18,2.042,1.106,0.012,38.90086207,3.890086207,11.344,9.102,7.771
U54,11.23.18,0.552,0.667,0.0035,6.822183099,0.68221831,31.025,17.922,14.301
U55,11.23.18,1.773,1.124,0.0088,15.81521739,1.581521739,23.051,12.419,9.345
U56,11.23.18,1.373,0.832,0.0056,6.502890173,0.650289017,23.259,11.319,7.661
U57,11.23.18,1.828,1.058,0.0118,16.99420103,1.699420103,15.722,8.391,6.656
U59,11.23.18,1.811,0.917,0.0076,28.23464912,2.823464912,19.688,10.544,8.48
U60,11.23.18,1.182,0.851,0.0052,13.60887097,1.360887097,21.82,13.386,10.939
U61,11.23.18,1.582,0.944,0.0081,19.77657005,1.977657005,25.155,10.199,7.562
U62,11.23.18,1.331,0.877,0.0044,13.95348837,1.395348837,13.361,6.698,5.14
U63,11.23.18,1.311,0.905,0.0064,9.987113402,0.99871134,20.259,11.153,8.473
U64,11.23.18,0.595,0.609,0.0049,7.575757576,0.757575758,9.487,6.698,5.863
U65,11.23.18,1.728,1.079,0.0118,27.85145889,2.785145889,15.363,8.206,5.979
U66,11.23.18,2.09,1.208,0.016,27.72988506,2.772988506,25.256,11.092,7.023
U67,11.23.18,2.238,1.253,0.0162,81.56702899,8.156702899,26.656,11.736,8.942
U68,11.23.18,1.211,1.166,0.0039,13.69552058,1.369552058,28.905,12.067,8.505
U69,11.23.18,1.876,1.087,0.0129,27.80032468,2.780032468,34.953,15.918,10.794
U70,11.23.18,1.866,0.602,0.0104,64.70415361,6.470415361,15.589,6.861,4.671
